,x,mu
0,1e-05,4.005
1,0.005,3.996
2,0.01,3.986
3,0.015,3.977
4,0.02,3.967
5,0.025,3.958
6,0.030000000000000002,3.948
7,0.034999999999999996,3.939
8,0.04,3.929
9,0.045,3.92
10,0.049999999999999996,3.91
11,0.055,3.901
12,0.06,3.891
13,0.065,3.882
14,0.07,3.872
15,0.07500000000000001,3.863
16,0.08,3.854
17,0.085,3.844
18,0.09000000000000001,3.835
19,0.095,3.825
20,0.1,3.816
21,0.10500000000000001,3.807
22,0.11,3.797
23,0.115,3.788
24,0.12000000000000001,3.778
25,0.125,3.769
26,0.13,3.76
27,0.135,3.75
28,0.14,3.741
29,0.14500000000000002,3.732
30,0.15,3.722
31,0.155,3.713
32,0.16,3.704
33,0.165,3.694
34,0.17,3.685
35,0.17500000000000002,3.676
36,0.18000000000000002,3.667
37,0.185,3.657
38,0.19,3.648
39,0.195,3.639
40,0.2,3.63
41,0.20500000000000002,3.62
42,0.21000000000000002,3.611
43,0.215,3.602
44,0.22,3.593
45,0.225,3.584
46,0.23,3.575
47,0.23500000000000001,3.565
48,0.24000000000000002,3.556
49,0.245,3.547
50,0.25,3.538
51,0.255,3.529
52,0.26,3.52
53,0.265,3.511
54,0.27,3.502
55,0.275,3.493
56,0.28,3.484
57,0.28500000000000003,3.475
58,0.29000000000000004,3.466
59,0.295,3.457
60,0.3,3.448
61,0.305,3.439
62,0.31,3.43
63,0.315,3.421
64,0.32,3.412
65,0.325,3.403
66,0.33,3.394
67,0.335,3.385
68,0.34,3.377
69,0.34500000000000003,3.368
70,0.35000000000000003,3.359
71,0.35500000000000004,3.35
72,0.36,3.341
73,0.365,3.333
74,0.37,3.324
75,0.375,3.315
76,0.38,3.306
77,0.385,3.298
78,0.39,3.289
79,0.395,3.28
80,0.4,3.272
81,0.405,3.263
82,0.41000000000000003,3.254
83,0.41500000000000004,3.246
84,0.42000000000000004,3.237
85,0.425,3.229
86,0.43,3.22
87,0.435,3.212
88,0.44,3.203
89,0.445,3.195
90,0.45,3.186
91,0.455,3.178
92,0.46,3.169
93,0.465,3.161
94,0.47000000000000003,3.153
95,0.47500000000000003,3.144
96,0.48000000000000004,3.136
97,0.485,3.127
98,0.49,3.119
99,0.495,3.111
100,0.5,3.103
101,0.505,3.094
102,0.51,3.086
103,0.515,3.078
104,0.52,3.07
105,0.525,3.062
106,0.53,3.053
107,0.535,3.045
108,0.54,3.037
109,0.545,3.029
110,0.55,3.021
111,0.555,3.013
112,0.56,3.005
113,0.5650000000000001,2.997
114,0.5700000000000001,2.989
115,0.5750000000000001,2.981
116,0.5800000000000001,2.973
117,0.585,2.965
118,0.59,2.957
119,0.595,2.949
120,0.6,2.941
121,0.605,2.934
122,0.61,2.926
123,0.615,2.918
124,0.62,2.91
125,0.625,2.903
126,0.63,2.895
127,0.635,2.887
128,0.64,2.879
129,0.645,2.872
130,0.65,2.864
131,0.655,2.856
132,0.66,2.849
133,0.665,2.841
134,0.67,2.834
135,0.675,2.826
136,0.68,2.819
137,0.685,2.811
138,0.6900000000000001,2.804
139,0.6950000000000001,2.796
140,0.7000000000000001,2.789
141,0.7050000000000001,2.782
142,0.71,2.774
143,0.715,2.767
144,0.72,2.759
145,0.725,2.752
146,0.73,2.745
147,0.735,2.738
148,0.74,2.73
149,0.745,2.723
150,0.75,2.716
151,0.755,2.709
152,0.76,2.702
153,0.765,2.695
154,0.77,2.687
155,0.775,2.68
156,0.78,2.673
157,0.785,2.666
158,0.79,2.659
159,0.795,2.652
160,0.8,2.645
161,0.805,2.638
162,0.81,2.631
163,0.8150000000000001,2.625
164,0.8200000000000001,2.618
165,0.8250000000000001,2.611
166,0.8300000000000001,2.604
167,0.8350000000000001,2.597
168,0.84,2.59
169,0.845,2.584
170,0.85,2.577
171,0.855,2.57
172,0.86,2.563
173,0.865,2.557
174,0.87,2.55
175,0.875,2.543
176,0.88,2.537
177,0.885,2.53
178,0.89,2.524
179,0.895,2.517
180,0.9,2.511
181,0.905,2.504
182,0.91,2.498
183,0.915,2.491
184,0.92,2.485
185,0.925,2.478
186,0.93,2.472
187,0.935,2.466
188,0.9400000000000001,2.459
189,0.9450000000000001,2.453
190,0.9500000000000001,2.447
191,0.9550000000000001,2.44
192,0.9600000000000001,2.434
193,0.965,2.428
194,0.97,2.422
195,0.975,2.415
196,0.98,2.409
197,0.985,2.403
198,0.99,2.397
199,0.995,2.391
200,0.99999,2.385
